subject_id,study_date,reaction_time_ms
308,2022-05-22,249.56
308,2022-05-23,258.7047
308,2022-05-25,321.4398
308,2022-05-26,356.8519
308,2022-05-27,414.6901
308,2022-05-28,382.2038
308,2022-05-29,290.1486
308,2022-05-30,430.5853
308,2022-05-31,466.3535
309,2022-06-03,222.7339
309,2022-06-04,205.2658
309,2022-06-05,202.9778
309,2022-06-06,204.707
309,2022-06-07,207.7161
309,2022-06-08,215.9618
309,2022-06-10,217.7272
309,2022-06-11,224.2957
310,2022-07-10,199.0539
310,2022-07-11,194.3322
310,2022-07-12,234.32
310,2022-07-13,232.8416
310,2022-07-14,229.3074
310,2022-07-15,220.4579
310,2022-07-16,235.4208
310,2022-07-17,255.7511
310,2022-07-18,261.0125
310,2022-07-19,247.5153
330,2022-05-24,321.5426
330,2022-05-25,300.4002
330,2022-05-27,285.133
330,2022-05-28,285.7973
330,2022-05-29,297.5855
330,2022-05-30,280.2396
330,2022-05-31,318.2613
330,2022-06-01,305.3495
330,2022-06-02,354.0487
331,2022-04-12,287.6079
331,2022-04-13,285
331,2022-04-14,301.8206
331,2022-04-15,320.1153
331,2022-04-16,316.2773
331,2022-04-17,293.3187
331,2022-04-18,290.075
331,2022-04-19,334.8177
331,2022-04-20,293.7469
332,2022-05-22,234.8606
332,2022-05-23,242.8118
332,2022-05-24,272.9613
332,2022-05-25,309.7688
332,2022-05-27,309.9976
332,2022-05-28,454.1619
332,2022-05-29,346.8311
332,2022-05-30,330.3003
332,2022-05-31,253.8644
333,2022-06-27,283.8424
333,2022-06-28,289.555
333,2022-07-02,338.1665
333,2022-07-03,332.0265
333,2022-07-04,348.8399
333,2022-07-05,333.36
333,2022-07-06,362.0428
334,2022-06-24,265.4731
334,2022-06-25,276.2012
334,2022-06-27,254.6723
334,2022-06-28,279.0244
334,2022-06-29,284.1912
334,2022-06-30,305.5248
334,2022-07-01,331.5229
334,2022-07-02,335.7469
334,2022-07-03,377.299
335,2022-06-11,241.6083
335,2022-06-12,273.9472
335,2022-06-13,254.4907
335,2022-06-14,270.8021
335,2022-06-15,251.4519
335,2022-06-16,254.6362
335,2022-06-17,245.4523
335,2022-06-18,235.311
335,2022-06-19,235.7541
335,2022-06-20,237.2466
337,2022-06-09,312.3666
337,2022-06-10,313.8058
337,2022-06-12,346.1222
337,2022-06-13,365.7324
337,2022-06-14,391.8385
337,2022-06-15,404.2601
337,2022-06-16,416.6923
337,2022-06-17,455.8643
337,2022-06-18,458.9167
349,2022-06-16,236.1032
349,2022-06-17,230.3167
349,2022-06-18,238.9256
349,2022-06-19,254.922
349,2022-06-20,250.7103
349,2022-06-21,269.7744
349,2022-06-23,308.102
349,2022-06-24,336.2806
349,2022-06-25,351.6451
350,2022-07-25,256.2968
350,2022-07-26,243.4543
350,2022-07-27,256.2046
350,2022-07-28,255.5271
350,2022-07-29,268.9165
350,2022-07-30,329.7247
350,2022-07-31,379.4445
350,2022-08-01,362.9184
350,2022-08-02,394.4872
350,2022-08-03,389.0527
351,2022-06-17,250.5265
351,2022-06-18,300.0576
351,2022-06-19,269.8939
351,2022-06-21,271.8274
351,2022-06-22,304.6336
351,2022-06-23,287.7466
351,2022-06-24,266.5955
351,2022-06-25,321.5418
351,2022-06-26,347.5655
352,2022-05-07,221.6771
352,2022-05-08,298.1939
352,2022-05-09,326.8785
352,2022-05-10,346.8555
352,2022-05-11,348.7402
352,2022-05-12,352.8287
352,2022-05-13,354.4266
352,2022-05-14,360.4326
352,2022-05-15,375.6406
352,2022-05-16,388.5417
369,2022-05-11,271.9235
369,2022-05-12,268.4369
369,2022-05-13,257.2424
369,2022-05-14,277.6566
369,2022-05-15,314.8222
369,2022-05-16,317.2135
369,2022-05-18,348.1229
369,2022-05-19,340.28
369,2022-05-20,366.5131
370,2022-06-22,225.264
370,2022-06-23,234.5235
370,2022-06-24,238.9008
370,2022-06-25,240.473
370,2022-06-26,267.5373
370,2022-06-28,281.1481
370,2022-06-30,365.163
371,2022-05-22,269.8804
371,2022-05-23,272.4428
371,2022-05-24,277.8989
371,2022-05-25,281.7895
371,2022-05-26,279.1705
371,2022-05-27,284.512
371,2022-05-28,259.2658
371,2022-05-29,304.6306
371,2022-05-30,350.7807
371,2022-05-31,369.4692
372,2022-07-02,269.4117
372,2022-07-03,273.474
372,2022-07-04,297.5968
372,2022-07-05,310.6316
372,2022-07-06,287.1726
372,2022-07-07,329.6076
372,2022-07-08,334.4818
372,2022-07-09,343.2199
372,2022-07-10,369.1417
372,2022-07-11,364.1236
